"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","4","36-3031-ND","3031","BATT RETAIN COIN 1 CELL PC PIN","","4","0","0.62000","2.48"
"2","1","ED10529-ND","302-S401","CONN HEADER VERT 40POS 2.54MM","","1","0","0.57000","0.57"
"3","4","P031-ND","CR-1025/BN","BATTERY LITHIUM 3V COIN 10MM","","4","0","1.12000","4.48"
"4","1","1727-2036-1-ND","74HC2G02DP,125","IC GATE NOR 2CH 2-INP 8TSSOP","","1","0","0.45000","0.45"
"5","1","1276-1026-1-ND","CL21B105KOFNNNE","CAP CER 1UF 16V X7R 0805","C1","1","0","0.10000","0.10"
"6","1","BAT54CLT3GOSCT-ND","BAT54CLT3G","DIODE ARRAY SCHOTTKY 30V SOT23-3","","1","0","0.12000","0.12"
"7","2","455-SM04B-SRSS-TBCT-ND","SM04B-SRSS-TB","CONN HEADER SMD R/A 4POS 1MM","","2","0","0.59000","1.18"
"8","1","455-3006-ND","A04SR04SR30K305A","JUMPER 04SR-3S - 04SR-3S 12""","","0","1","1.80000","1.80"
